utterance,cypher
How many movies has Ryan Gosling acted in?,MATCH (:Person {name: 'Ryan Gosling'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Which actors acted in 'The Lord of the Rings: The Fellowship of the Ring'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'The Lord of the Rings: The Fellowship of the Ring'}) RETURN p.name AS actor;
How many movies has Emma Stone acted in?,MATCH (:Person {name: 'Emma Stone'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Show me movies whose title contains the word 'star'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'star' RETURN m.title AS title, m.released AS year;"
Show me movies whose title contains the word 'night'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'night' RETURN m.title AS title, m.released AS year;"
How many movies has Pedro Pascal acted in?,MATCH (:Person {name: 'Pedro Pascal'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Find all people born in 2021.,MATCH (p:Person) WHERE p.born = 2021 RETURN p.name AS person;
List all movies released in 2016.,MATCH (m:Movie) WHERE m.released = 2016 RETURN m.title AS title;
Which movies feature at least 4 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 4 RETURN m.title AS title, actorCount;"
List actors who have acted with Morgan Freeman.,MATCH (p1:Person {name: 'Morgan Freeman'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Find all people born in 2023.,MATCH (p:Person) WHERE p.born = 2023 RETURN p.name AS person;
Who follows Meryl Streep?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Meryl Streep'}) RETURN follower.name AS follower;
Who follows Anne Hathaway?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Anne Hathaway'}) RETURN follower.name AS follower;
Show me movies whose title contains the word 'love'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'love' RETURN m.title AS title, m.released AS year;"
Who directed the movie 'Parasite'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Parasite'}) RETURN d.name AS director;
Show me movies whose title contains the word 'story'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'story' RETURN m.title AS title, m.released AS year;"
Who directed the movie 'Interstellar'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Interstellar'}) RETURN d.name AS director;
List actors who have acted with Ryan Gosling.,MATCH (p1:Person {name: 'Ryan Gosling'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Which movies feature at least 8 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 8 RETURN m.title AS title, actorCount;"
Which actors acted in 'Birdman'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Birdman'}) RETURN p.name AS actor;
How many movies has Matt Damon acted in?,MATCH (:Person {name: 'Matt Damon'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Find all people born in 2014.,MATCH (p:Person) WHERE p.born = 2014 RETURN p.name AS person;
Show me movies whose title contains the word 'war'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'war' RETURN m.title AS title, m.released AS year;"
Which actors acted in 'Coco'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Coco'}) RETURN p.name AS actor;
Who directed the movie 'Titanic'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Titanic'}) RETURN d.name AS director;
Which movies feature at least 9 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 9 RETURN m.title AS title, actorCount;"
Find all people born in 2010.,MATCH (p:Person) WHERE p.born = 2010 RETURN p.name AS person;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Who directed the movie 'Se7en'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Se7en'}) RETURN d.name AS director;
List all movies released in 1984.,MATCH (m:Movie) WHERE m.released = 1984 RETURN m.title AS title;
List all movies released in 2021.,MATCH (m:Movie) WHERE m.released = 2021 RETURN m.title AS title;
How many movies has Viola Davis acted in?,MATCH (:Person {name: 'Viola Davis'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Find all people born in 1974.,MATCH (p:Person) WHERE p.born = 1974 RETURN p.name AS person;
Who directed the movie 'Toy Story'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Toy Story'}) RETURN d.name AS director;
How many movies has Matt Damon acted in?,MATCH (:Person {name: 'Matt Damon'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Which movies feature at least 9 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 9 RETURN m.title AS title, actorCount;"
Which movies feature at least 5 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 5 RETURN m.title AS title, actorCount;"
Find all people born in 1978.,MATCH (p:Person) WHERE p.born = 1978 RETURN p.name AS person;
Who directed the movie 'Finding Nemo'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Finding Nemo'}) RETURN d.name AS director;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Find all people born in 2017.,MATCH (p:Person) WHERE p.born = 2017 RETURN p.name AS person;
Who follows Margot Robbie?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Margot Robbie'}) RETURN follower.name AS follower;
Who follows Viola Davis?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Viola Davis'}) RETURN follower.name AS follower;
How many movies has George Clooney acted in?,MATCH (:Person {name: 'George Clooney'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Which actors acted in 'The Grand Budapest Hotel'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'The Grand Budapest Hotel'}) RETURN p.name AS actor;
Which movies feature at least 4 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 4 RETURN m.title AS title, actorCount;"
List all movies released in 2025.,MATCH (m:Movie) WHERE m.released = 2025 RETURN m.title AS title;
Show me movies whose title contains the word 'dark'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'dark' RETURN m.title AS title, m.released AS year;"
Which actors acted in 'Blade Runner 2049'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Blade Runner 2049'}) RETURN p.name AS actor;
Who follows Keanu Reeves?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Keanu Reeves'}) RETURN follower.name AS follower;
List actors who have acted with Cate Blanchett.,MATCH (p1:Person {name: 'Cate Blanchett'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Who follows Gal Gadot?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Gal Gadot'}) RETURN follower.name AS follower;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Find all people born in 2005.,MATCH (p:Person) WHERE p.born = 2005 RETURN p.name AS person;
List all movies released in 2013.,MATCH (m:Movie) WHERE m.released = 2013 RETURN m.title AS title;
Show me movies whose title contains the word 'king'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'king' RETURN m.title AS title, m.released AS year;"
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Find all people born in 2019.,MATCH (p:Person) WHERE p.born = 2019 RETURN p.name AS person;
How many movies has Brad Pitt acted in?,MATCH (:Person {name: 'Brad Pitt'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Find all people born in 1997.,MATCH (p:Person) WHERE p.born = 1997 RETURN p.name AS person;
Which actors acted in 'Gravity'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Gravity'}) RETURN p.name AS actor;
List all movies released in 2016.,MATCH (m:Movie) WHERE m.released = 2016 RETURN m.title AS title;
Find all people born in 2002.,MATCH (p:Person) WHERE p.born = 2002 RETURN p.name AS person;
Which actors acted in 'The Grand Budapest Hotel'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'The Grand Budapest Hotel'}) RETURN p.name AS actor;
Show me movies whose title contains the word 'story'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'story' RETURN m.title AS title, m.released AS year;"
Find all people born in 2023.,MATCH (p:Person) WHERE p.born = 2023 RETURN p.name AS person;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Who follows Anne Hathaway?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Anne Hathaway'}) RETURN follower.name AS follower;
Which actors acted in 'Birdman'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Birdman'}) RETURN p.name AS actor;
Which actors acted in 'Coco'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Coco'}) RETURN p.name AS actor;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
List all movies released in 2008.,MATCH (m:Movie) WHERE m.released = 2008 RETURN m.title AS title;
How many movies has Hugh Jackman acted in?,MATCH (:Person {name: 'Hugh Jackman'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
List all movies released in 1977.,MATCH (m:Movie) WHERE m.released = 1977 RETURN m.title AS title;
How many movies has Harrison Ford acted in?,MATCH (:Person {name: 'Harrison Ford'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Who directed the movie 'Pulp Fiction'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Pulp Fiction'}) RETURN d.name AS director;
Who directed the movie 'Toy Story'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Toy Story'}) RETURN d.name AS director;
Show me movies whose title contains the word 'love'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'love' RETURN m.title AS title, m.released AS year;"
Which movies feature at least 4 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 4 RETURN m.title AS title, actorCount;"
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Which actors acted in 'The Dark Knight'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'The Dark Knight'}) RETURN p.name AS actor;
Which movies feature at least 5 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 5 RETURN m.title AS title, actorCount;"
Find all people born in 2003.,MATCH (p:Person) WHERE p.born = 2003 RETURN p.name AS person;
Who follows Margot Robbie?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Margot Robbie'}) RETURN follower.name AS follower;
Who directed the movie 'Coco'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Coco'}) RETURN d.name AS director;
Who directed the movie 'Mad Max: Fury Road'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Mad Max: Fury Road'}) RETURN d.name AS director;
List actors who have acted with Emily Blunt.,MATCH (p1:Person {name: 'Emily Blunt'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
How many movies has Michael B. Jordan acted in?,MATCH (:Person {name: 'Michael B. Jordan'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Which movies feature at least 4 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 4 RETURN m.title AS title, actorCount;"
Who directed the movie 'Star Wars: A New Hope'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Star Wars: A New Hope'}) RETURN d.name AS director;
Show me movies whose title contains the word 'night'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'night' RETURN m.title AS title, m.released AS year;"
List all movies released in 2007.,MATCH (m:Movie) WHERE m.released = 2007 RETURN m.title AS title;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Who directed the movie 'Up'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Up'}) RETURN d.name AS director;
Who directed the movie 'The Matrix'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'The Matrix'}) RETURN d.name AS director;
Show me movies whose title contains the word 'king'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'king' RETURN m.title AS title, m.released AS year;"
List all movies released in 1984.,MATCH (m:Movie) WHERE m.released = 1984 RETURN m.title AS title;
Show me movies whose title contains the word 'love'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'love' RETURN m.title AS title, m.released AS year;"
How many movies has Keanu Reeves acted in?,MATCH (:Person {name: 'Keanu Reeves'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Who directed the movie 'Whiplash'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Whiplash'}) RETURN d.name AS director;
Which movies feature at least 6 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 6 RETURN m.title AS title, actorCount;"
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Which actors acted in 'Toy Story'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Toy Story'}) RETURN p.name AS actor;
Who follows Ryan Reynolds?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Ryan Reynolds'}) RETURN follower.name AS follower;
Who directed the movie 'Gone Girl'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Gone Girl'}) RETURN d.name AS director;
List actors who have acted with Anne Hathaway.,MATCH (p1:Person {name: 'Anne Hathaway'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Show me movies whose title contains the word 'love'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'love' RETURN m.title AS title, m.released AS year;"
List actors who have acted with Denzel Washington.,MATCH (p1:Person {name: 'Denzel Washington'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
List actors who have acted with Joaquin Phoenix.,MATCH (p1:Person {name: 'Joaquin Phoenix'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Which movies feature at least 3 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 3 RETURN m.title AS title, actorCount;"
Show me movies whose title contains the word 'love'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'love' RETURN m.title AS title, m.released AS year;"
List actors who have acted with Paul Rudd.,MATCH (p1:Person {name: 'Paul Rudd'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
How many movies has Emma Stone acted in?,MATCH (:Person {name: 'Emma Stone'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Who directed the movie 'Avatar'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Avatar'}) RETURN d.name AS director;
Who directed the movie 'Coco'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Coco'}) RETURN d.name AS director;
Which movies feature at least 5 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 5 RETURN m.title AS title, actorCount;"
List actors who have acted with Samuel L. Jackson.,MATCH (p1:Person {name: 'Samuel L. Jackson'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Find all people born in 1999.,MATCH (p:Person) WHERE p.born = 1999 RETURN p.name AS person;
Who directed the movie 'The Shawshank Redemption'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'The Shawshank Redemption'}) RETURN d.name AS director;
Which movies feature at least 4 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 4 RETURN m.title AS title, actorCount;"
List all movies released in 2011.,MATCH (m:Movie) WHERE m.released = 2011 RETURN m.title AS title;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
List all movies released in 1975.,MATCH (m:Movie) WHERE m.released = 1975 RETURN m.title AS title;
Who directed the movie 'Titanic'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Titanic'}) RETURN d.name AS director;
List actors who have acted with Hugh Jackman.,MATCH (p1:Person {name: 'Hugh Jackman'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Which movies feature at least 6 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 6 RETURN m.title AS title, actorCount;"
List actors who have acted with Natalie Portman.,MATCH (p1:Person {name: 'Natalie Portman'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Which actors acted in 'The Revenant'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'The Revenant'}) RETURN p.name AS actor;
List all movies released in 1994.,MATCH (m:Movie) WHERE m.released = 1994 RETURN m.title AS title;
Find all people born in 2020.,MATCH (p:Person) WHERE p.born = 2020 RETURN p.name AS person;
Which movies feature at least 7 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 7 RETURN m.title AS title, actorCount;"
List actors who have acted with Oscar Isaac.,MATCH (p1:Person {name: 'Oscar Isaac'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Which movies feature at least 5 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 5 RETURN m.title AS title, actorCount;"
Who directed the movie 'Parasite'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Parasite'}) RETURN d.name AS director;
Who directed the movie 'Pulp Fiction'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Pulp Fiction'}) RETURN d.name AS director;
Who follows Chadwick Boseman?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Chadwick Boseman'}) RETURN follower.name AS follower;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
List all movies released in 2017.,MATCH (m:Movie) WHERE m.released = 2017 RETURN m.title AS title;
How many movies has Natalie Portman acted in?,MATCH (:Person {name: 'Natalie Portman'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
List all movies released in 2007.,MATCH (m:Movie) WHERE m.released = 2007 RETURN m.title AS title;
Which movies feature at least 5 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 5 RETURN m.title AS title, actorCount;"
List all movies released in 2002.,MATCH (m:Movie) WHERE m.released = 2002 RETURN m.title AS title;
Show me movies whose title contains the word 'story'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'story' RETURN m.title AS title, m.released AS year;"
Which actors acted in 'The Shawshank Redemption'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'The Shawshank Redemption'}) RETURN p.name AS actor;
Who follows Keanu Reeves?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Keanu Reeves'}) RETURN follower.name AS follower;
Who directed the movie 'Django Unchained'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Django Unchained'}) RETURN d.name AS director;
Show me movies whose title contains the word 'war'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'war' RETURN m.title AS title, m.released AS year;"
Who directed the movie 'Up'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Up'}) RETURN d.name AS director;
Who follows Leonardo DiCaprio?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Leonardo DiCaprio'}) RETURN follower.name AS follower;
Who follows Morgan Freeman?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Morgan Freeman'}) RETURN follower.name AS follower;
List actors who have acted with Emily Blunt.,MATCH (p1:Person {name: 'Emily Blunt'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Who follows Florence Pugh?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Florence Pugh'}) RETURN follower.name AS follower;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
How many movies has Jennifer Lawrence acted in?,MATCH (:Person {name: 'Jennifer Lawrence'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Who directed the movie 'The Lion King'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'The Lion King'}) RETURN d.name AS director;
How many movies has Sandra Bullock acted in?,MATCH (:Person {name: 'Sandra Bullock'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Find all people born in 1995.,MATCH (p:Person) WHERE p.born = 1995 RETURN p.name AS person;
Which actors acted in 'The Lion King'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'The Lion King'}) RETURN p.name AS actor;
Find all people born in 1999.,MATCH (p:Person) WHERE p.born = 1999 RETURN p.name AS person;
How many movies has Mahershala Ali acted in?,MATCH (:Person {name: 'Mahershala Ali'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Show me movies whose title contains the word 'love'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'love' RETURN m.title AS title, m.released AS year;"
Which movies feature at least 4 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 4 RETURN m.title AS title, actorCount;"
Show me movies whose title contains the word 'war'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'war' RETURN m.title AS title, m.released AS year;"
Who directed the movie 'The Grand Budapest Hotel'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'The Grand Budapest Hotel'}) RETURN d.name AS director;
Find all people born in 1978.,MATCH (p:Person) WHERE p.born = 1978 RETURN p.name AS person;
How many movies has Keanu Reeves acted in?,MATCH (:Person {name: 'Keanu Reeves'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
